"diag"
"A2m"	0.990464304382873
"Aaas"	0.693909720937426
"Aacs"	0.959492065133216
"Aagab"	0.839656361803473
"Aak1"	-0.0673051748798394
"Aamdc"	-0.965321355887291
"Aamp"	0.83498073948619
"Aar2"	0.793071280281388
"Aars2"	0.94349847014669
"Aarsd1"	0.98877018973468
"Aasdhppt"	-0.288462871020933
"Aatf"	-0.23421732370948
"Abat"	0.7750605196476
"Abcb10"	0.785345963260049
"Abcb1b"	-0.753856861956236
"Abcb6"	0.995533209082779
"Abcb7"	-0.908660941025379
"Abcb8"	0.0245828035087536
"Abcc1"	0.133699078046279
"Abcc4"	-0.332150736617908
"Abcd3"	0.837164732320014
"Abce1"	0.934417402337497
"Abcf1"	0.202952426784622
"Abcf2"	0.0823684852149124
"Abcf3"	-0.526440473433356
"Abcg2"	0.881682583342595
"Abhd10"	0.754453159734208
"Abhd11"	0.920329592117575
"Abhd12"	0.986827777704607
"Abhd13"	0.944270608481213
"Abhd14a"	0.96124958579006
"Abhd14b"	-0.856400144809368
"Abhd16a"	0.607422300427858
"Abhd4"	-0.913924262161955
"Abhd5"	0.473307069671863
"Abhd6"	-0.567220686596499
"Abi1"	0.996246473028074
"Abi2"	-0.296406962387962
"Abitram"	-0.329981565519831
"Abl1"	0.893031835426725
"Abl2"	-0.333464967034435
"Abr"	0.703826838414446
"Abraxas2"	-0.0720235524392901
"Abt1"	-0.13248146273334
"Acaa1a"	-0.764109389212492
"Acaa2"	-0.493922306905181
"Acaca"	-0.702166400766104
"Acad11"	-0.0011656182091967
"Acad12"	-0.823255582319879
"Acad8"	-0.951757918291628
"Acad9"	-0.53668149356399
"Acadl"	0.979096672217511
"Acadm"	-0.137184252270886
"Acads"	0.717888093742086
"Acadsb"	0.93925908985543
"Acadvl"	-0.205672700968963
"Acap2"	0.978683475065246
"Acat1"	-0.0539039131691463
"Acat2"	-0.123587416253154
"Acbd3"	0.99265001851796
"Acbd5"	0.309035788078114
"Acbd6"	0.604053565259142
"Accs"	-0.596051907174956
"Acd"	0.853739898801816
"Acin1"	0.631176882083491
"Acly"	0.378989522245532
"Aco2"	0.709320047154098
"Acot1"	0.990109206922736
"Acot13"	-0.510120684195414
