sample,Gene,Z-score,group,replicate
P-I,Acot13,0.1009955354648329,Posterior,1
P-I,Acot2,-1.3002665415529429,Posterior,1
P-I,Acot6,-1.7806319135571795,Posterior,1
P-I,Acot7,1.3184238583134396,Posterior,1
P-I,Acot8,1.1560715504243542,Posterior,1
P-I,Acot9,-2.30624153434828,Posterior,1
P-I,Acox1,-0.4471710870899483,Posterior,1
P-I,Acox3,-0.7748995205601048,Posterior,1
P-I,Acp1,-2.0311956208954407,Posterior,1
P-I,Acp2,-0.10063395797672485,Posterior,1
P-I,Acp3,-0.3704685347046969,Posterior,1
P-I,Acp5,-2.2147160803936092,Posterior,1
P-I,Acp6,1.489952382162203,Posterior,1
P-I,Acrbp,-0.17308939642844573,Posterior,1
P-I,Acsbg1,0.5289027321334525,Posterior,1
P-I,Acsf2,-0.08626000704052383,Posterior,1
P-I,Acsf3,1.0609583760385572,Posterior,1
P-I,Acsl1,-0.6018013343310911,Posterior,1
P-I,Acsl3,1.79640950074978,Posterior,1
P-I,Acsl4,1.9892423507036705,Posterior,1
P-I,Acsl5,2.414572451671233,Posterior,1
P-I,Acsl6,0.04992027209091608,Posterior,1
P-I,Acsm3,2.628843141738676,Posterior,1
P-I,Acss1,-1.6468300348412768,Posterior,1
P-I,Acss2,-1.4903445797211357,Posterior,1
P-I,Acss3,0.7992925574484118,Posterior,1
P-I,Acta1,-2.210652492753453,Posterior,1
P-I,Actb,1.85134888728556,Posterior,1
P-I,Actb.1,1.6204752767898196,Posterior,1
P-I,Actbl2,0.8161060121435981,Posterior,1
P-I,Actl6a,0.12668217659968245,Posterior,1
P-I,Actmap,-0.2536649891097249,Posterior,1
P-I,Actn1,1.0383255168351133,Posterior,1
P-I,Actn3,-1.0919328562859183,Posterior,1
P-I,Actn4,0.3656554896401999,Posterior,1
P-I,Actr10,1.7195434125903553,Posterior,1
P-I,Actr1a,2.0509342469815395,Posterior,1
P-I,Actr1b,1.2334288189984979,Posterior,1
P-I,Actr2,1.205404545957834,Posterior,1
P-I,Actr3,-0.10419082269406983,Posterior,1
P-I,Actr5,-2.412447703908716,Posterior,1
P-I,Actr6,0.8149982915104381,Posterior,1
P-I,Actr8,1.2703066301564372,Posterior,1
P-I,Acvr1,0.20510446410114325,Posterior,1
P-I,Acvr1b,-1.846594140988787,Posterior,1
P-I,Acvr2a,0.5031072143778426,Posterior,1
P-I,Acvr2b,0.03334782099040266,Posterior,1
P-I,Acvrl1,-0.02637938244920656,Posterior,1
P-I,Acy1,-2.2400975797478493,Posterior,1
P-I,Acy3,0.791751551771039,Posterior,1
P-I,Acyp1,-1.7639985100459423,Posterior,1
P-I,Acyp2,-2.616639200540192,Posterior,1
P-I,Ada,-1.2816502464104216,Posterior,1
P-I,Adal,-1.6908486392920754,Posterior,1
P-I,Adam10,1.1216042579456351,Posterior,1
P-I,Adam12,0.6882246077945471,Posterior,1
P-I,Adam15,-0.7727560225002059,Posterior,1
P-I,Adam17,1.0182745649594647,Posterior,1
P-I,Adam19,0.2336454892790946,Posterior,1
P-I,Adam22,0.4885991879773791,Posterior,1
P-I,Adam9,1.46185059978584,Posterior,1
P-I,Adamts1,0.1585423388915656,Posterior,1
P-I,Adamts12,0.19299141999551617,Posterior,1
P-I,Adamts15,-1.3926111211395384,Posterior,1
P-I,Adamts17,1.382768861519844,Posterior,1
P-I,Adamts9,1.1470619142308514,Posterior,1
P-I,Adamtsl2,1.2345199281624728,Posterior,1
P-I,Adar,0.692637722468961,Posterior,1
P-I,Adarb1,1.686219392054732,Posterior,1
P-I,Adat1,0.6880166722991509,Posterior,1
P-I,Adat2,-0.72387284776069,Posterior,1
P-I,Adat3,-1.3864142598677967,Posterior,1
P-I,Adck1,2.1877189519806497,Posterior,1
P-I,Adck2,-1.0613634864825516,Posterior,1
P-I,Adck5,-1.5545692130822872,Posterior,1
P-I,Adcy4,-0.11778159464812687,Posterior,1
P-I,Adcy6,0.9502499521158885,Posterior,1
P-I,Add1,-1.1537712138771552,Posterior,1
P-I,Add2,-1.6478940640716047,Posterior,1
P-I,Add3,-0.9768992417317476,Posterior,1
P-I,Adgb,0.8196313387192472,Posterior,1
P-I,Adgra2,-1.4300845830150373,Posterior,1
P-I,Adgra3,-0.23894880360385454,Posterior,1
P-I,Adgre5,-2.6653943773117272,Posterior,1
P-I,Adgrf5,0.976998319638036,Posterior,1
P-I,Adgrf5.1,-0.5869568537224417,Posterior,1
P-I,Adgrg1,0.9300135376092132,Posterior,1
P-I,Adgrl1,2.4804493088714503,Posterior,1
P-I,Adgrl2,-1.3186756542364424,Posterior,1
P-I,Adgrl3,-1.0307694344272793,Posterior,1
P-I,Adh1,-2.0591273047942575,Posterior,1
P-I,Adh5,-1.402632008718089,Posterior,1
P-I,Adi1,-0.7648953444825706,Posterior,1
P-I,Adissp,-1.7786092753948404,Posterior,1
P-I,Adk,-1.8594074747254685,Posterior,1
P-I,Adnp,0.6597756017003997,Posterior,1
P-I,Adnp2,1.8831172104827518,Posterior,1
P-I,Ado,-1.9608572847136478,Posterior,1
P-I,Adpgk,1.735854170609031,Posterior,1
P-I,Adprh,-2.266635566478505,Posterior,1
P-I,Adprm,-1.5155163016825064,Posterior,1
P-I,Adprs,1.0380168156081706,Posterior,1
P-I,Adrm1,2.1176274505118555,Posterior,1
P-I,Adsl,1.4269259228429663,Posterior,1
P-I,Adss1,-0.11464719298793374,Posterior,1
P-I,Adss2,1.511774971540361,Posterior,1
P-I,Aebp1,-0.7533027445517286,Posterior,1
P-I,Aebp2,0.7444797222415818,Posterior,1
P-I,Aen,-0.7383040183791421,Posterior,1
